Prey_Name,Prey_Name_Clean,Prey_Name_Networks,taxonomic_rank,descriptive,commercial_species,buckley_grouping,pollock_grouping,cod_grouping,sablefish_grouping,halibut_grouping,OUTDATEDphylum_grouping,outdated_stock_arrowtooth,stock_groupings,stock_arrowtooth,stock_halibut,stock_pollock,stock_cod,network_grouping,gam_grouping
Agonidae,Agonidae,Agonidae,family,"aligator fiss, starsnout, hooknoses, rockhead",,Fishes,Fish,Fish,Fish,Fish,fish,fish,other fish,other fish,other fish,other fish,other fish,Agonidae,other
Ammodytidae,Ammodytidae,Ammodytidae,family,sand lance,Forage,Fishes,Forage Fish,Ammodytidae,Fish,Fish,forage fish,forage fish,forage fish,forage fish,forage fish,forage fish,forage fish,Ammodytidae,other
Misc Amphipoda,Amphipoda,Amphipoda,order,amphipod,,Other Prey,Invert,Invert,Invert,Invert,zooplankton,zooplankton,zooplankton,other,zooplankton,zooplankton,zooplankton,Amphipoda,other
Misc Worm,Annelida,Annelida,phylum,worms,,Other Prey,Invert,Invert,Invert,Invert,zooplankton,zooplankton,benthic invertebrate,other,other,other,benthic invert,Annelida,other
Misc Anomura,Anomura,Anomura,infraorder,infraorder of decapods (hermits) outdated?,,Other Prey,Crab,Misc Anomura,Crab,Crab,arthropoda,arthropoda,Arthropoda,arthropoda,arthropoda,arthropoda,arthropoda,Anomura,other
Sablefish,Anoplopoma fimbria,Anoplopoma fimbria,species,sablefish,Target,Fishes,Fish,Fish,Fish,Fish,fish,fish,other fish,other fish,other fish,sablefish,other fish,Anoplopoma fimbria,other
Larvacea,Appendicularia,Appendicularia,class,larvae,,Larvaceans,Larvacea,Other,Other,Other,zooplankton,zooplankton,zooplankton,other,zooplankton,zooplankton,zooplankton,Appendicularia,other
Kamchatka flounder,Atheresthes evermanni,Atheresthes evermanni,species,flatfish,Target?,Fishes,Fish,Fish,Fish,Fish,fish,fish,flatfish,flatfish,flatfish,other fish,other fish,Atheresthes evermanni,other
Arrowtooth flounder,Atheresthes stomias,Arrowtooth flounder,species,A flounder (flatfish),Target,Fishes,Fish,Arrowtooth Flounder,Fish,Arrowtooth Flounder,fish,fish,flatfish,flatfish,flatfish,other fish,other fish,Atheresthes stomias,other
Misc Bird,Aves,Aves,Class,bird,,Other Prey,Other,Other,Other,Other,other,other,other,other,other,other,other,Aves,other
Bathylagid,Bathylagidae,Bathylagidae,family,deep sea smelt,Forage,Fishes,Forage Fish,Fish,Fish,Fish,forage fish,forage fish,forage fish,forage fish,forage fish,forage fish,forage fish,Bathylagidae,other
Bivalvia,Bivalvia,Bivalvia,class,clam class,,Other Prey,Invert,Invert,Invert,Invert,mollusca,other,other,other,other,other,other,Bivalvia,other
Cancridea,Brachyura,Brachyura,infraorder,crabs ,,Other Prey,Crab,Crab,Crab,Cancridea,arthropoda,arthropoda,Arthropoda,arthropoda,arthropoda,arthropoda,arthropoda,Brachyura,other
Misc Brachyura,Brachyura,Brachyura,infraorder,true crabs includes snow and dungeness,,Other Prey,Crab,Crab,Crab,Crab,arthropoda,arthropoda,Arthropoda,arthropoda,arthropoda,arthropoda,arthropoda,Brachyura,other
Misc Crab,Brachyura,Brachyura,infraorder,crab,,Other Prey,Crab,Crab,Crab,Crab,arthropoda,arthropoda,Arthropoda,arthropoda,arthropoda,arthropoda,arthropoda,Brachyura,other
Capreillidea,Caprellidae,Caprellidae,family,skeleton shrimp,,Shrimps,Shrimp,Shrimp,Shrimp,Shrimp,arthropoda,arthropoda,Arthropoda,arthropoda,arthropoda,arthropoda,arthropoda,Caprellidae,other
